prod_response_len,staging_response_len
39.21787901780246,50.16574009822929
47.95140979337417,57.202749522302554
44.35227740202124,73.15575583044878
45.92935652682978,45.907398770203436
39.50075167535654,31.417840351558954
39.899360499039176,61.91108299636784
47.87272514027427,72.19977491113036
54.437155057560446,56.71322035661349
39.01720665802152,38.94701589575598
36.3123245542709,50.51329164117759
51.134601656718374,38.57771818946041
44.674961069423105,59.714265927555374
53.30498133985952,35.784515167618785
35.94202786628853,48.3984545580616
27.205610745765693,39.947946084473124
39.66995918173666,53.52189622161954
37.33647390734984,47.60389987434691
44.212115999197,54.12114523900317
38.631547857296106,52.26820665959639
52.410169513364494,40.160091667310674
42.11849737577484,59.52252476234826
46.50474498773901,51.41481217788262
46.57634558440944,40.1376519056092
46.94955092412187,78.89111867446951
44.75870889545027,57.7171620006055
50.10600690410313,50.16087335920834
37.04344866174193,68.98245432042188
58.99417926653883,74.10178731263929
42.634626166314646,50.25580693223338
31.884508621013183,56.16876983721714
46.88073356991773,40.14396618396471
36.48819517552515,50.23368699078386
51.65334534508875,49.611249354881565
67.09605576042378,54.21792440345985
37.1342790844215,55.99312574364412
48.32372333223985,58.71794138593672
27.444944112953724,54.851711875599506
49.53905229441347,37.47108848045002
36.1428620020031,40.73839473110698
38.751653815655175,45.443108566435924
33.98713510160172,48.61311289692125
52.32151226054735,64.60929148566535
55.07304357473262,38.04473215776504
45.23385214658508,47.711019421951605
36.3557329466428,63.4361139785686
60.89523036103863,48.40147030604065
37.49589872245344,57.52498779811389
23.37967700072561,50.32549548486516
49.58389009957068,55.08139908789667
33.952253263584836,49.25832947428551
54.88608793499175,60.00478567274025
41.18862303326581,33.45932311112278
51.03713240544196,47.64025589933746
59.01500346552158,55.5588721203317
32.91141135379278,58.40434297607432
39.34062869107595,69.91543147304593
44.24328927342937,47.30770399761308
60.37551319034343,69.75378114233047
38.41617282059555,44.09171408008395
39.054963040509925,67.94375693853573
49.78140575555808,61.80960552038047
39.22771274289429,41.038497044413326
46.52525882897616,55.68447084702186
29.48462579031873,51.3851699736137
67.14329942556597,59.50701512410001
31.522907696905968,49.320740938800284
41.78247296009792,48.31304529205922
